qid,hop,condition,label_mode,raw_output,prediction,gold_answers,gold_count,prediction_count,exact_match,set_precision,set_recall,set_f1,abstained,mixed_unknown,duplicate_output,protocol_violation,hit_max_token_limit,input_tokens,output_tokens,generation_seconds,peak_gpu_memory_gb,false_candidate_count,false_candidates,false_adopted,gold_retained_any,gold_retained_all,contradiction_category
3hop_test_2649,3,clean,natural,Mario Monicelli;Vincenzo Cerami;Cesare Zavattini;Luchino Visconti,mario monicelli || vincenzo cerami || cesare zavattini || luchino visconti,vincenzo cerami || mario monicelli || federico fellini || luchino visconti || cesare zavattini,5,4,0,1.0,0.8,0.888888888888889,0,0,0,0,0,331,26,5.7984,2.603,0,,,1,0,
3hop_test_438,3,clean,natural,Ross McElwee,ross mcelwee,ross mcelwee,1,1,1,1.0,1.0,1.0,0,0,0,0,0,229,6,1.5958,2.584,0,,,1,1,
3hop_test_5584,3,clean,natural,Marcus Dunstan; Stanley Mann; John Fowles; John Kohn,marcus dunstan || stanley mann || john fowles || john kohn,stanley mann || patrick melton || john kohn || john fowles || marcus dunstan,5,4,0,1.0,0.8,0.888888888888889,0,0,0,0,0,257,16,4.0607,2.59,0,,,1,0,
3hop_test_5668,3,clean,natural,Jerzy Kawalerowicz; Steve Zahn; Leelee Sobieski; Matthias Schweighöfer; Danny Glover,jerzy kawalerowicz || steve zahn || leelee sobieski || matthias schweighöfer || danny glover,steve zahn || danny glover || matthias schweighöfer || leelee sobieski,4,5,0,0.8,1.0,0.888888888888889,0,0,0,0,0,277,26,6.2297,2.594,0,,,1,1,
3hop_test_6530,3,clean,natural,Sydney Pollack; Martin Scorsese; Brian De Palma; John Flynn,sydney pollack || martin scorsese || brian de palma || john flynn,sydney pollack || paul schrader || brian de palma || john flynn || martin scorsese,5,4,0,1.0,0.8,0.888888888888889,0,0,0,0,0,333,18,4.5017,2.604,0,,,1,0,
3hop_test_8487,3,clean,natural,Catherine Breillat,catherine breillat,catherine breillat || charles perrault || edward dmytryk,3,1,0,1.0,0.3333333333333333,0.5,0,0,0,0,0,268,6,1.6171,2.592,0,,,1,0,
3hop_test_8647,3,clean,natural,Robert Rodriguez; Ethan Maniquis; Quentin Tarantino; Allison Anders,robert rodriguez || ethan maniquis || quentin tarantino || allison anders,allison anders || ethan maniquis || alexandre rockwell || quentin tarantino || robert rodriguez,5,4,0,1.0,0.8,0.888888888888889,0,0,0,0,0,303,15,3.5794,2.598,0,,,1,0,
2hop_test_10263,2,clean,anonymized,Entity_0009;Entity_0007;Entity_0008;Entity_0002;Entity_0010;Entity_0001;Entity_0013,Entity_0009 || Entity_0007 || Entity_0008 || Entity_0002 || Entity_0010 || Entity_0001 || Entity_0013,Entity_0013 || Entity_0007 || Entity_0001 || Entity_0010 || Entity_0009 || Entity_0002 || Entity_0008,7,7,1,1.0,1.0,1.0,0,0,0,0,0,381,49,10.5371,2.618,0,,,1,1,
2hop_test_10462,2,clean,anonymized,Entity_0003;Entity_0007;Entity_0001,Entity_0003 || Entity_0007 || Entity_0001,Entity_0007 || Entity_0003 || Entity_0001 || Entity_0008,4,3,0,1.0,0.75,0.8571428571428571,0,0,0,0,0,310,21,4.8834,2.599,0,,,1,0,
2hop_test_10615,2,clean,anonymized,Entity_0004,Entity_0004,Entity_0004,1,1,1,1.0,1.0,1.0,0,0,0,0,0,258,7,1.256,2.59,0,,,1,1,
2hop_test_1086,2,clean,anonymized,Entity_0004;Entity_0010,Entity_0004 || Entity_0010,Entity_0010 || Entity_0004,2,2,1,1.0,1.0,1.0,0,0,0,0,0,295,14,2.6706,2.597,0,,,1,1,
2hop_test_11223,2,clean,anonymized,UNKNOWN,,Entity_0005,1,0,0,0.0,0.0,0.0,1,0,0,0,0,258,2,0.8618,2.59,0,,,0,0,
2hop_test_11457,2,clean,anonymized,Entity_0009,Entity_0009,Entity_0009,1,1,1,1.0,1.0,1.0,0,0,0,0,0,258,7,1.166,2.59,0,,,1,1,
2hop_test_11618,2,clean,anonymized,UNKNOWN,,Entity_0006 || Entity_0001 || Entity_0003,3,0,0,0.0,0.0,0.0,1,0,0,0,0,312,2,0.7562,2.6,0,,,0,0,
2hop_test_13543,2,clean,anonymized,Entity_0001,Entity_0001,Entity_0001,1,1,1,1.0,1.0,1.0,0,0,0,0,0,259,7,2.0293,2.59,0,,,1,1,
2hop_test_14308,2,clean,anonymized,Entity_0006,Entity_0006,Entity_0006,1,1,1,1.0,1.0,1.0,0,0,0,0,0,260,7,1.8627,2.59,0,,,1,1,
2hop_test_14455,2,clean,anonymized,Entity_0004;Entity_0005;Entity_0006;Entity_0007;Entity_0010;Entity_0013;Entity_0014;Entity_0017,Entity_0004 || Entity_0005 || Entity_0006 || Entity_0007 || Entity_0010 || Entity_0013 || Entity_0014 || Entity_0017,Entity_0014 || Entity_0005 || Entity_0017 || Entity_0006 || Entity_0010 || Entity_0004 || Entity_0007 || Entity_0013,8,8,1,1.0,1.0,1.0,0,0,0,0,0,376,56,6.5041,2.615,0,,,1,1,
2hop_test_1706,2,clean,anonymized,Entity_0012;Entity_0006,Entity_0012 || Entity_0006,Entity_0012 || Entity_0006,2,2,1,1.0,1.0,1.0,0,0,0,0,0,294,14,3.5718,2.597,0,,,1,1,
2hop_test_1772,2,clean,anonymized,Entity_0001,Entity_0001,Entity_0001,1,1,1,1.0,1.0,1.0,0,0,0,0,0,257,7,1.9521,2.59,0,,,1,1,
2hop_test_8123,2,clean,anonymized,Entity_0010;Entity_0006;Entity_0011,Entity_0010 || Entity_0006 || Entity_0011,Entity_0010 || Entity_0011 || Entity_0006,3,3,1,1.0,1.0,1.0,0,0,0,0,0,292,21,5.7747,2.597,0,,,1,1,
2hop_test_9147,2,clean,anonymized,Entity_0006;Entity_0007,Entity_0006 || Entity_0007,Entity_0006,1,2,0,0.5,1.0,0.6666666666666666,0,0,0,0,0,257,14,3.225,2.59,0,,,1,1,
3hop_test_10122,3,clean,anonymized,Entity_0003;Entity_0004;Entity_0016,Entity_0003 || Entity_0004 || Entity_0016,Entity_0002 || Entity_0016 || Entity_0004 || Entity_0003,4,3,0,1.0,0.75,0.8571428571428571,0,0,0,0,0,364,21,5.5888,2.61,0,,,1,0,
3hop_test_10307,3,clean,anonymized,Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_0027;Entity_,Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_0027 || Entity_,Entity_0001 || Entity_0019 || Entity_0007 || Entity_0027 || Entity_0025 || Entity_0026 || Entity_0018 || Entity_0014 || Entity_0011 || Entity_0003,10,2,0,0.5,0.1,0.16666666666666669,0,0,1,1,1,567,128,27.7145,2.717,0,,,1,0,
3hop_test_10333,3,clean,anonymized,Entity_0006,Entity_0006,Entity_0006 || Entity_0003,2,1,0,1.0,0.5,0.6666666666666666,0,0,0,0,0,294,7,2.0349,2.597,0,,,1,0,
3hop_test_10341,3,clean,anonymized,Entity_0005;Entity_0010,Entity_0005 || Entity_0010,Entity_0010 || Entity_0005,2,2,1,1.0,1.0,1.0,0,0,0,0,0,294,14,3.5733,2.597,0,,,1,1,
3hop_test_1141,3,clean,anonymized,Entity_0011;Entity_0011,Entity_0011 || Entity_0011,Entity_0002 || Entity_0011,2,1,0,1.0,0.5,0.6666666666666666,0,0,1,0,0,297,14,3.5838,2.597,0,,,1,0,
3hop_test_1808,3,clean,anonymized,Entity_0014; Entity_0017; Entity_0005; Entity_0020; Entity_0022; Entity_0004; Entity_0021; Entity_0018; Entity_0006,Entity_0014 || Entity_0017 || Entity_0005 || Entity_0020 || Entity_0022 || Entity_0004 || Entity_0021 || Entity_0018 || Entity_0006,Entity_0014 || Entity_0004 || Entity_0017 || Entity_0022 || Entity_0021 || Entity_0005 || Entity_0020 || Entity_0006 || Entity_0018,9,9,1,1.0,1.0,1.0,0,0,0,0,0,506,63,14.967,2.676,0,,,1,1,
3hop_test_1846,3,clean,anonymized,Entity_0006,Entity_0006,Entity_0006 || Entity_0003,2,1,0,1.0,0.5,0.6666666666666666,0,0,0,0,0,297,7,2.0023,2.597,0,,,1,0,
3hop_test_2649,3,clean,anonymized,Entity_0005;Entity_0011;Entity_0014;Entity_0001,Entity_0005 || Entity_0011 || Entity_0014 || Entity_0001,Entity_0008 || Entity_0005 || Entity_0011 || Entity_0001 || Entity_0014,5,4,0,1.0,0.8,0.888888888888889,0,0,0,0,0,362,28,6.5941,2.61,0,,,1,0,
3hop_test_438,3,clean,anonymized,Entity_0006,Entity_0006,Entity_0006,1,1,1,1.0,1.0,1.0,0,0,0,0,0,274,7,1.9877,2.593,0,,,1,1,
3hop_test_5584,3,clean,anonymized,Entity_0003;Entity_0008;Entity_0014,Entity_0003 || Entity_0008 || Entity_0014,Entity_0008 || Entity_0013 || Entity_0014 || Entity_0003 || Entity_0002,5,3,0,1.0,0.6,0.7499999999999999,0,0,0,0,0,345,21,5.0545,2.606,0,,,1,0,
3hop_test_5668,3,clean,anonymized,Entity_0002;Entity_0002,Entity_0002 || Entity_0002,Entity_0008 || Entity_0004 || Entity_0012 || Entity_0001,4,1,0,0.0,0.0,0.0,0,0,1,0,0,329,14,3.5454,2.603,0,,,0,0,
3hop_test_6530,3,clean,anonymized,Entity_0010; Entity_0013; Entity_0018,Entity_0010 || Entity_0013 || Entity_0018,Entity_0004 || Entity_0010 || Entity_0009 || Entity_0018 || Entity_0013,5,3,0,1.0,0.6,0.7499999999999999,0,0,0,0,0,413,21,5.6764,2.631,0,,,1,0,
3hop_test_8487,3,clean,anonymized,Entity_0011;Entity_0007,Entity_0011 || Entity_0007,Entity_0013 || Entity_0011 || Entity_0007,3,2,0,1.0,0.6666666666666666,0.8,0,0,0,0,0,326,14,3.5561,2.602,0,,,1,0,
3hop_test_8647,3,clean,anonymized,Entity_0006,Entity_0006,Entity_0011 || Entity_0003 || Entity_0013 || Entity_0005 || Entity_0006,5,1,0,1.0,0.2,0.33333333333333337,0,0,0,0,0,380,7,2.024,2.616,0,,,1,0,
2hop_test_10263,2,entity_substitution,natural,Matt LeBlanc; Frances McDormand; Pauline Collins; Glenn Close; Edward Woodward; Bryan Brown; Jack Thompson,matt leblanc || frances mcdormand || pauline collins || glenn close || edward woodward || bryan brown || jack thompson,glenn close || frances mcdormand || edward woodward || bryan brown || cate blanchett || jack thompson || pauline collins,7,7,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0,0,0,0,307,26,6.4818,2.601,1,matt leblanc,1,1,0,
2hop_test_10462,2,entity_substitution,natural,Will Arnett;Liam Neeson;Jane Asher;Katherine Heigl,will arnett || liam neeson || jane asher || katherine heigl,brendan fraser || liam neeson || katherine heigl || will arnett,4,4,0,0.75,0.75,0.75,0,0,0,0,0,256,19,4.3872,2.59,1,jane asher,1,1,0,
2hop_test_10615,2,entity_substitution,natural,UNKNOWN,,walter hill,1,0,0,0.0,0.0,0.0,1,0,0,0,0,230,2,0.7064,2.584,1,shaun tan,0,0,0,
2hop_test_1086,2,entity_substitution,natural,Gary Brandner; John Woo,gary brandner || john woo,john woo || takashi yamazaki,2,2,0,0.5,0.5,0.5,0,0,0,0,0,245,7,1.8575,2.588,1,gary brandner,1,1,0,
2hop_test_11223,2,entity_substitution,natural,Robert Mark Kamen,robert mark kamen,jafar panahi,1,1,0,0.0,0.0,0.0,0,0,0,0,0,207,5,1.4295,2.58,1,robert mark kamen,1,0,0,
2hop_test_11457,2,entity_substitution,natural,Kirina Mano,kirina mano,daniel de oliveira,1,1,0,0.0,0.0,0.0,0,0,0,0,0,213,5,1.4254,2.581,1,kirina mano,1,0,0,
2hop_test_11618,2,entity_substitution,natural,Kevin Hooks; Tim Johnson,kevin hooks || tim johnson,tim johnson || karey kirkpatrick || robert luketic,3,2,0,0.5,0.3333333333333333,0.4,0,0,0,0,0,257,6,1.6726,2.59,1,kevin hooks,1,1,0,
2hop_test_13543,2,entity_substitution,natural,Bruce Joel Rubin,bruce joel rubin,ken bruen,1,1,0,0.0,0.0,0.0,0,0,0,0,0,204,4,1.1614,2.579,1,bruce joel rubin,1,0,0,
2hop_test_14308,2,entity_substitution,natural,Seth Michael Donsky,seth michael donsky,bette gordon,1,1,0,0.0,0.0,0.0,0,0,0,0,0,225,7,1.8808,2.583,1,seth michael donsky,1,0,0,
2hop_test_14455,2,entity_substitution,natural,Webb Smith; Dorothy Ann Blank; Merrill De Maris; Richard Creedon; Paul Mazursky; Dick Rickard; Otto Englander; Ted Sears,webb smith || dorothy ann blank || merrill de maris || richard creedon || paul mazursky || dick rickard || otto englander || ted sears,dorothy ann blank || dick rickard || richard creedon || otto englander || earl hurd || merrill de maris || webb smith || ted sears,8,8,0,0.875,0.875,0.875,0,0,0,0,0,352,33,7.418,2.609,1,paul mazursky,1,1,0,
2hop_test_1706,2,entity_substitution,natural,Ramin Bahrani; Todd Lincoln,ramin bahrani || todd lincoln,renny harlin || todd lincoln,2,2,0,0.5,0.5,0.5,0,0,0,0,0,236,9,2.2481,2.586,1,ramin bahrani,1,1,0,
2hop_test_1772,2,entity_substitution,natural,Jeff Feuerzeig,jeff feuerzeig,jean becker,1,1,0,0.0,0.0,0.0,0,0,0,0,0,215,6,1.5791,2.582,1,jeff feuerzeig,1,0,0,
2hop_test_8123,2,entity_substitution,natural,Matt Dillon;Kelly Lynch;Kad Merad,matt dillon || kelly lynch || kad merad,kelly lynch || matt dillon || heather graham,3,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,234,11,2.632,2.586,1,kad merad,1,1,0,
2hop_test_9147,2,entity_substitution,natural,Walter Lang; John Lafia,walter lang || john lafia,tom holland,1,2,0,0.0,0.0,0.0,0,0,0,0,0,213,8,2.1752,2.581,1,walter lang,1,0,0,
3hop_test_10122,3,entity_substitution,natural,UNKNOWN,,wendy wasserstein || stephen mccauley || arthur miller || alan bennett,4,0,0,0.0,0.0,0.0,1,0,0,0,0,298,2,0.8587,2.597,1,dino buzzati,0,0,0,
3hop_test_10307,3,entity_substitution,natural,Ingmar Bergman; Kenneth Branagh; Akira Kurosawa; Liv Ullmann; Billy Chan; Steve McQueen; Harold Prince; Jordan Barker; Richard Brooks,ingmar bergman || kenneth branagh || akira kurosawa || liv ullmann || billy chan || steve mcqueen || harold prince || jordan barker || richard brooks,baran bo odar || steve mcqueen || harold prince || ingmar bergman || liv ullmann || akira kurosawa || jordan barker || richard brooks || alf sjöberg || kenneth branagh,10,9,0,0.8888888888888888,0.8,0.8421052631578948,0,0,0,0,0,429,36,8.0937,2.639,1,billy chan,1,1,0,
3hop_test_10333,3,entity_substitution,natural,David Michôd;Ernest K. Gann,david michôd || ernest k. gann,david michôd || joel edgerton,2,2,0,0.5,0.5,0.5,0,0,0,0,0,230,12,2.6408,2.584,1,ernest k. gann,1,1,0,
3hop_test_10341,3,entity_substitution,natural,Dave Chappelle;Robert Thoeren,dave chappelle || robert thoeren,dave chappelle || neal brennan,2,2,0,0.5,0.5,0.5,0,0,0,0,0,240,10,2.5597,2.587,1,robert thoeren,1,1,0,
3hop_test_1141,3,entity_substitution,natural,UNKNOWN,,norman panama || melvin frank,2,0,0,0.0,0.0,0.0,1,0,0,0,0,254,2,0.7578,2.589,1,madhur bhandarkar,0,0,0,
3hop_test_1808,3,entity_substitution,natural,Kevin Allen; Vittorio Taviani; Richard Jobson; Michael Barak; Tom Stoppard; Robert Harris; John Hay,kevin allen || vittorio taviani || richard jobson || michael barak || tom stoppard || robert harris || john hay,james hacking || john hay || kevin allen || roland joffé || michael barak || richard jobson || paul durden || robert harris || tom stoppard,9,7,0,0.8571428571428571,0.6666666666666666,0.75,0,0,0,0,0,377,29,6.4787,2.615,1,vittorio taviani,1,1,0,
3hop_test_1846,3,entity_substitution,natural,UNKNOWN,,gregory jacobs || steven soderbergh,2,0,0,0.0,0.0,0.0,1,0,0,0,0,229,2,0.7112,2.584,1,richard kwietniowski,0,0,0,
3hop_test_2649,3,entity_substitution,natural,Mario Monicelli;Vincenzo Cerami;Cesare Zavattini;Carol Amen,mario monicelli || vincenzo cerami || cesare zavattini || carol amen,vincenzo cerami || mario monicelli || federico fellini || luchino visconti || cesare zavattini,5,4,0,0.75,0.6,0.6666666666666665,0,0,0,0,0,328,23,5.8027,2.603,1,carol amen,1,1,0,
3hop_test_438,3,entity_substitution,natural,Léopold Marchand,léopold marchand,ross mcelwee,1,1,0,0.0,0.0,0.0,0,0,0,0,0,230,7,1.9942,2.584,1,léopold marchand,1,0,0,
3hop_test_5584,3,entity_substitution,natural,Frank Barhydt; John Kohn; John Fowles,frank barhydt || john kohn || john fowles,stanley mann || patrick melton || john kohn || john fowles || marcus dunstan,5,3,0,0.6666666666666666,0.4,0.5,0,0,0,0,0,259,14,3.6117,2.59,1,frank barhydt,1,1,0,
3hop_test_5668,3,entity_substitution,natural,Jerzy Kawalerowicz; Leelee Sobieski; Rachel Blanchard; Steve Zahn; Danny Glover,jerzy kawalerowicz || leelee sobieski || rachel blanchard || steve zahn || danny glover,steve zahn || danny glover || matthias schweighöfer || leelee sobieski,4,5,0,0.6,0.75,0.6666666666666665,0,0,0,0,0,275,24,5.6063,2.593,1,rachel blanchard,1,1,0,
3hop_test_6530,3,entity_substitution,natural,Sydney Pollack;Martin Scorsese;Brian De Palma;Jared Hess,sydney pollack || martin scorsese || brian de palma || jared hess,sydney pollack || paul schrader || brian de palma || john flynn || martin scorsese,5,4,0,0.75,0.6,0.6666666666666665,0,0,0,0,0,331,19,4.5102,2.603,1,jared hess,1,1,0,
3hop_test_8487,3,entity_substitution,natural,Edward Dmytryk;Charles Perrault,edward dmytryk || charles perrault,catherine breillat || charles perrault || edward dmytryk,3,2,0,1.0,0.6666666666666666,0.8,0,0,0,0,0,267,10,2.389,2.592,1,manuel puig,0,1,0,
3hop_test_8647,3,entity_substitution,natural,Robert Rodriguez; Ethan Maniquis; Quentin Tarantino; Alexandre Rockwell; Jonathan Miller,robert rodriguez || ethan maniquis || quentin tarantino || alexandre rockwell || jonathan miller,allison anders || ethan maniquis || alexandre rockwell || quentin tarantino || robert rodriguez,5,5,0,0.8,0.8,0.8000000000000002,0,0,0,0,0,303,19,4.7898,2.6,1,jonathan miller,1,1,0,
2hop_test_10263,2,entity_substitution,anonymized,Entity_0003;Entity_0007;Entity_0008;Entity_0013;Entity_0002;Entity_0010;Entity_0001,Entity_0003 || Entity_0007 || Entity_0008 || Entity_0013 || Entity_0002 || Entity_0010 || Entity_0001,Entity_0013 || Entity_0007 || Entity_0001 || Entity_0010 || Entity_0009 || Entity_0002 || Entity_0008,7,7,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0,0,0,0,381,49,10.8442,2.617,1,Entity_0003,1,1,0,
2hop_test_10462,2,entity_substitution,anonymized,Entity_0003;Entity_0005;Entity_0001,Entity_0003 || Entity_0005 || Entity_0001,Entity_0007 || Entity_0003 || Entity_0001 || Entity_0008,4,3,0,0.6666666666666666,0.5,0.5714285714285715,0,0,0,0,0,310,21,5.0859,2.601,1,Entity_0005,1,1,0,
2hop_test_10615,2,entity_substitution,anonymized,Entity_0008,Entity_0008,Entity_0004,1,1,0,0.0,0.0,0.0,0,0,0,0,0,258,7,1.7925,2.59,1,Entity_0008,1,0,0,
2hop_test_1086,2,entity_substitution,anonymized,Entity_0002;Entity_0010,Entity_0002 || Entity_0010,Entity_0010 || Entity_0004,2,2,0,0.5,0.5,0.5,0,0,0,0,0,295,14,3.6589,2.597,1,Entity_0002,1,1,0,
2hop_test_11223,2,entity_substitution,anonymized,UNKNOWN,,Entity_0005,1,0,0,0.0,0.0,0.0,1,0,0,0,0,258,2,0.821,2.59,1,Entity_0007,0,0,0,
2hop_test_11457,2,entity_substitution,anonymized,Entity_0004,Entity_0004,Entity_0009,1,1,0,0.0,0.0,0.0,0,0,0,0,0,258,7,1.794,2.59,1,Entity_0004,1,0,0,
2hop_test_11618,2,entity_substitution,anonymized,UNKNOWN,,Entity_0006 || Entity_0001 || Entity_0003,3,0,0,0.0,0.0,0.0,1,0,0,0,0,312,2,0.8299,2.601,1,Entity_0004,0,0,0,
2hop_test_13543,2,entity_substitution,anonymized,Entity_0006,Entity_0006,Entity_0001,1,1,0,0.0,0.0,0.0,0,0,0,0,0,259,7,1.9146,2.59,1,Entity_0006,1,0,0,
2hop_test_14308,2,entity_substitution,anonymized,Entity_0007;Entity_0009;Entity_0010,Entity_0007 || Entity_0009 || Entity_0010,Entity_0006,1,3,0,0.0,0.0,0.0,0,0,0,0,0,260,21,4.7049,2.59,1,Entity_0007,1,0,0,
2hop_test_14455,2,entity_substitution,anonymized,Entity_0004;Entity_0005;Entity_0006;Entity_0007;Entity_0011;Entity_0012;Entity_0013;Entity_0014;Entity_0017,Entity_0004 || Entity_0005 || Entity_0006 || Entity_0007 || Entity_0011 || Entity_0012 || Entity_0013 || Entity_0014 || Entity_0017,Entity_0014 || Entity_0005 || Entity_0017 || Entity_0006 || Entity_0010 || Entity_0004 || Entity_0007 || Entity_0013,8,9,0,0.7777777777777778,0.875,0.823529411764706,0,0,0,0,0,376,63,13.88,2.615,1,Entity_0012,1,1,0,
2hop_test_1706,2,entity_substitution,anonymized,Entity_0003;Entity_0006,Entity_0003 || Entity_0006,Entity_0012 || Entity_0006,2,2,0,0.5,0.5,0.5,0,0,0,0,0,294,14,3.3465,2.597,1,Entity_0003,1,1,0,
2hop_test_1772,2,entity_substitution,anonymized,Entity_0006,Entity_0006,Entity_0001,1,1,0,0.0,0.0,0.0,0,0,0,0,0,257,7,1.7795,2.59,1,Entity_0006,1,0,0,
